,Release,BPM,Energy,Dance,Loud,Valence,Length,Acoustic,Pop.,Artist_2 Chainz,Artist_21 Savage,Artist_22Gz,Artist_AJR,Artist_Alex Cameron,Artist_Alexander 23,Artist_Aminé,Artist_Arcade Fire,Artist_Arctic Monkeys,Artist_Ashnikko,Artist_Bad Suns,Artist_Bear Hands,Artist_Blood Orange,Artist_Blue Öyster Cult,Artist_Bobby Shmurda,Artist_Brittany Howard,Artist_Bruce Springsteen,Artist_Bryce Vine,Artist_Buddy Ross,Artist_COIN,Artist_CRUISR,Artist_Calvin Harris,Artist_Carrie Underwood,Artist_Charlotte Sands,Artist_Chaz Bundick Meets The Mattson 2,Artist_Chief Keef,Artist_Childish Gambino,Artist_Chloe Lilac,Artist_Classixx,Artist_Clive Tanaka y su orquesta,Artist_Cola Boyy,Artist_Conan Gray,Artist_DJ Kaos,Artist_DUSTY LOCANE,Artist_DaBaby,Artist_Daft Punk,Artist_De Lux,Artist_Declan McKenna,Artist_Deeper,Artist_Doechii,Artist_Doja Cat,Artist_Dominic Fike,Artist_Drake,Artist_Dua Lipa,Artist_ESG,Artist_Elton John,Artist_FLETCHER,Artist_Fitz and The Tantrums,Artist_Floating Points,Artist_Foo Fighters,Artist_Frank Ocean,Artist_Future,Artist_GAYLE,Artist_GROUPLOVE,Artist_Galloway,Artist_Gardens & Villa,Artist_Glass Animals,Artist_Gorillaz,Artist_Gucci Mane,Artist_Gunna,Artist_HUNNY,Artist_Hailee Steinfeld,Artist_Halsey,Artist_Harry Styles,Artist_Headie One,Artist_Huncho Jack,Artist_Idris Muhammad,Artist_Japanese Breakfast,Artist_Jimmy Eat World,Artist_Jimmy Whoo,Artist_Kendrick Lamar,Artist_Kevin Abstract,Artist_Khruangbin,Artist_KiNG MALA,Artist_Kid Cudi,Artist_King Gizzard & The Lizard Wizard,Artist_Kodak Black,Artist_Leah Kate,Artist_Lifehouse,Artist_Lil Eazzyy,Artist_Lil Loaded,Artist_Lil Tjay,Artist_Lil Uzi Vert,Artist_Lilyisthatyou,Artist_MGMT,Artist_Mac DeMarco,Artist_Mac Miller,Artist_Masayoshi Takanaka,Artist_Mayer Hawthorne,Artist_Meek Mill,Artist_Megan Thee Stallion,Artist_Methyl Ethel,Artist_Metro Boomin,Artist_Metronomy,Artist_Migos,Artist_Milky Chance,Artist_Milo Greene,Artist_Moodoïd,Artist_Mr Twin Sister,Artist_Måneskin,Artist_NLE Choppa,Artist_Neon Trees,Artist_New Politics,Artist_NextYoungin,Artist_Nicki Minaj,Artist_Night Moves,Artist_Noah Kahan,Artist_Oko Ebombo,Artist_Olivia O'Brien,Artist_Olivia Rodrigo,Artist_Panama,Artist_Paramore,Artist_Parcels,Artist_Part Time,Artist_Passion Pit,Artist_Paul McCartney,Artist_Phantogram,Artist_Phogg,Artist_Pink Floyd,Artist_Pink Guy,Artist_Pink Skies,Artist_Pond,Artist_Pop Smoke,Artist_Poppy,Artist_Psychic Mirrors,Artist_Radiohead,Artist_Rainbow Kitten Surprise,Artist_Reneé Rapp,Artist_Riovaz,Artist_Rise Against,Artist_Rocko,Artist_Roddy Ricch,Artist_SAULT,Artist_Smallpools,Artist_Sports,Artist_St. Lucia,Artist_Steely Dan,Artist_Steve Lacy,Artist_Steve Miller Band,Artist_Still Parade,Artist_Still Woozy,Artist_Surf Curse,Artist_Talking Heads,Artist_Tame Impala,Artist_Tears For Fears,Artist_The Attire,Artist_The Backseat Lovers,Artist_The Cars,Artist_The Chainsmokers,Artist_The Flaming Lips,Artist_The Garden,Artist_The Killers,Artist_The Mowgli's,Artist_The Neighbourhood,Artist_The Weeknd,Artist_The Wombats,Artist_Theophilus London,Artist_Thundercat,Artist_Tom Skinner,Artist_Toro y Moi,Artist_Tory Lanez,Artist_Trap Manny,Artist_Travis Scott,Artist_Two Door Cinema Club,"Artist_Tyler, The Creator",Artist_Unknown Mortal Orchestra,Artist_Vance Joy,Artist_Virna Lindt,Artist_WALK THE MOON,Artist_Washed Out,Artist_Wham!,Artist_Wild Nothing,Artist_Wild Party,Artist_YBN Nahmir,Artist_Young Money,Artist_Young Rising Sons,Artist_Young Thug,Artist_Yumi Zouma,Artist_Yung Gravy,Artist_benny blanco,Artist_boy pablo,Artist_lovelytheband,Artist_ppcocaine,Classification_Alex,Classification_Jordan,Classification_Ryan
1363,2020,132,74,89,-7,94,140,4,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
4,2012,190,60,39,-10,60,204,66,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
58,2015,130,57,63,-7,16,278,25,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1317,2007,161,86,41,-5,96,162,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1356,2022,121,64,51,-8,31,267,11,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1308,2017,97,54,84,-6,51,218,4,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1336,2019,108,72,79,-6,42,178,5,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1324,2020,103,83,70,-4,92,203,1,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6,2022,154,79,54,-3,45,157,1,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1270,2022,119,52,85,-7,60,164,14,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
